label,text
0,je déteste ça . Pourquoi?
0,"Je n'aime pas avoir terminé des évaluations de performance, mais pas comme cette année de travail."
0,vraiment?? Hmm c'est bizarre.
0,Tellement fatigué. je veux dormir. J'ai eu mon spectacle scolaire de jeunes frères ce soir. Vraiment ne peut pas être dérangé
0,très booored arghhhhhhhhhh
0,Me marche dans mon sommeil au travail
0,"Tout le monde, j'ai de l'école demain. Pas un type de personne matinale ici haha."
0,"Censé fonctionner, mais vraiment juste assis ici inquiétant. Oh, garçon, c'est amusant."
0,Je me demande parfois le même. J'espère que tout va bien et j'ai eu votre dernier texte ce matin. mon téléphone est mort
0,Aie. La mise à jour de ipod touch était transparente (et seulement 95)
0,Je ne peux pas venir avant l'amour demain ...
0,Il faut que mon garçon prenne ses coups ... pas amusant
0,"Le chien m'a réveillé, mais maintenant il est temps de toucher la salle de gym."
0,Oops. Un peu de gâteau aux carottes que je viens d'écraser ne sera probablement pas utile.
0,Je suis né 500 ans au début. Je ne connaîtrai jamais la joie de licencier une ville; Mettre le ppl à l'épée & amp; La torche pour tout autre chose.
0,Lol. J'aurais dû l'essayer sur une blonde ou
0,Je regrette beaucoup de toi xxxxx
0,les gars
0,& Quot; blesser & quot; Par christina aguilera est dédié à mon grand-père qui est décédé il y a quelques années. Je ne l'ai jamais rencontré ...
0,"D'accord, ils nous rappellent. Toujours perdu"
0,Vos liens ne font que m'emporter à la minuscule page url ... idk si vous vous rendez compte ou non.
0,"Je viens de sortir du téléphone avec Apple. Le disque dur Mac est parti! Plus de 23k documents (pr, marketing etc.) perdu! Uuuuggghhhh !!!!!"
0,Tous les espaces pris dans Sheffield
0,Argh. Je me suis rendu compte que j'ai quitté les sharpies à la maison
0,Je rêve juste que l'océan a séché
0,Est triste qu'ils enlèvent son zicam.
0,À la normalité avec une lettre «malheureusement».
0,Je dois trainer la maison d'ordinateur portable et faire du travail à la maison ce soir
0,"L'agent de bord est un homme drôle ... je suis à bord de the guyz, donc c'est mon dernier twit pour 3 heures sur le nouveau louis sur Flan!"
0,Je suis d'accord sur le $ donc je suis encore en train de racler les articles autant que je peux me motiver. Et je serai au bureau de l'aide sociale le lundi.
0,"3-0 au Brésil dans le match de coupe des confédérations du Brésil / États-Unis. Malheureusement, tellement pas surpris."
0,"Bien sûr, semble être. J'utilise ff chaque fois que possible, les systèmes internes de ma société ont malheureusement besoin de"
